angle :0.000   Frequency (rad/s) :1.000
Number        Real()        IMAG()
         187 -0.496180534      -0.00000000    
         188 -0.563609004      -0.00000000    
         189 -0.640200734      -0.00000000    
         190 -0.727200925      -0.00000000    
         191 -0.826023996      -0.00000000    
         192 -0.938276589      -0.00000000    
         193 -0.384559244      -0.00000000    
         194 -0.436818957      -0.00000000    
         195 -0.496180534      -0.00000000    
         196 -0.563609004      -0.00000000    
         197 -0.640200734      -0.00000000    
         198 -0.727200925      -0.00000000    
         199 -0.826023996      -0.00000000    
         200 -0.938276589      -0.00000000    
         201 -0.384559244      -0.00000000    
         202 -0.436818957      -0.00000000    
         203 -0.496180534      -0.00000000    
         204 -0.563609004      -0.00000000    
         205 -0.640200734      -0.00000000    
         206 -0.727200925      -0.00000000    
         207 -0.826023996      -0.00000000    
         208 -0.938276589      -0.00000000    
         209 -0.384559244      -0.00000000    
         210 -0.436818957      -0.00000000    
         211 -0.496180534      -0.00000000    
         212 -0.563609004      -0.00000000    
         213 -0.640200734      -0.00000000    
         214 -0.727200925      -0.00000000    
         215 -0.826023996      -0.00000000    
         216 -0.938276589      -0.00000000    
         217  -2.24628244E-02  0.360123038    
         218  -6.79666996E-02  0.354363829    
         219 -0.112345144      0.342887402    
         220 -0.154867470      0.325897634    
         221 -0.194821149      0.303706974    
         222 -0.231500044      0.276768714    
         223 -0.264098942      0.245855525    
         224 -0.290193617      0.214431480    
         225  -2.24628244E-02  0.360123038    
         226  -6.79666996E-02  0.354363829    
         227 -0.112345144      0.342887402    
         228 -0.154867470      0.325897634    
         229 -0.194821149      0.303706974    
         230 -0.231500044      0.276768714    
         231 -0.264098942      0.245855525    
         232 -0.290193617      0.214431480    
         233  -2.24628244E-02  0.360123038    
         234  -6.79666996E-02  0.354363829    
         235 -0.112345144      0.342887402    
         236 -0.154867470      0.325897634    
         237 -0.194821149      0.303706974    
         238 -0.231500044      0.276768714    
         239 -0.264098942      0.245855525    
         240 -0.290193617      0.214431480    
         241  -2.24628244E-02  0.360123038    
         242  -6.79666996E-02  0.354363829    
         243 -0.112345144      0.342887402    
         244 -0.154867470      0.325897634    
         245 -0.194821149      0.303706974    
         246 -0.231500044      0.276768714    
         247 -0.264098942      0.245855525    
         248 -0.290193617      0.214431480    
         249  -2.24628244E-02  0.360123038    
         250  -6.79666996E-02  0.354363829    
         251 -0.112345144      0.342887402    
         252 -0.154867470      0.325897634    
         253 -0.194821149      0.303706974    
         254 -0.231500044      0.276768714    
         255 -0.264098942      0.245855525    
         256 -0.290193617      0.214431480    
         257  -2.24628244E-02  0.360123038    
         258  -6.79666996E-02  0.354363829    
         259 -0.112345144      0.342887402    
         260 -0.154867470      0.325897634    
         261 -0.194821149      0.303706974    
         262 -0.231500044      0.276768714    
         263 -0.264098942      0.245855525    
         264 -0.290193617      0.214431480    
         265  -2.24628244E-02  0.360123038    
         266  -6.79666996E-02  0.354363829    
         267 -0.112345144      0.342887402    
         268 -0.154867470      0.325897634    
         269 -0.194821149      0.303706974    
         270 -0.231500044      0.276768714    
         271 -0.264098942      0.245855525    
         272 -0.290193617      0.214431480    
         273  -2.24628244E-02  0.360123038    
         274  -6.79666996E-02  0.354363829    
         275 -0.112345144      0.342887402    
         276 -0.154867470      0.325897634    
         277 -0.194821149      0.303706974    
         278 -0.231500044      0.276768714    
         279 -0.264098942      0.245855525    
         280 -0.290193617      0.214431480    
